importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
django/conf/__init__.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/asgi.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/management/__init__.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/management/base.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/management/commands/makemessages.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/management/templates.py,django,django/__init__.py,INTERNAL,MAPPED
django/core/wsgi.py,django,django/__init__.py,INTERNAL,MAPPED
django/db/models/base.py,django,django/__init__.py,INTERNAL,MAPPED
django/db/models/query.py,django,django/__init__.py,INTERNAL,MAPPED
django/test/runner.py,django,django/__init__.py,INTERNAL,MAPPED
django/utils/autoreload.py,django,django/__init__.py,INTERNAL,MAPPED
scripts/manage_translations.py,django,django/__init__.py,INTERNAL,MAPPED
tests/model_regress/test_pickle.py,django,django/__init__.py,INTERNAL,MAPPED
tests/queryset_pickle/tests.py,django,django/__init__.py,INTERNAL,MAPPED
tests/runtests.py,django,django/__init__.py,INTERNAL,MAPPED
tests/shell/tests.py,django.__version__,django/__init__.py,INTERNAL,MAPPED
django/utils/version.py,django.VERSION,django/__init__.py,INTERNAL,MAPPED
docs/conf.py,django.VERSION,django/__init__.py,INTERNAL,MAPPED
tests/utils_tests/test_autoreload.py,django.__main__,django/__main__.py,INTERNAL,MAPPED
django/contrib/admin/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/admindocs/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/auth/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/contenttypes/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/flatpages/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/gis/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/humanize/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/messages/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/postgres/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/redirects/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/sessions/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/sitemaps/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/sites/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/staticfiles/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/contrib/syndication/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
django/db/migrations/state.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
tests/apps/apps.py,django.apps.AppConfig,django/apps/config.py,INTERNAL,MAPPED
