importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
examples/celery/src/task_app/views.py,task_app.tasks,examples/celery/src/task_app/tasks.py,EXTERNAL,EXTERNAL
examples/celery/src/task_app/__init__.py,task_app.views,examples/celery/src/task_app/views.py,EXTERNAL,EXTERNAL
examples/javascript/js_example/views.py,js_example.app,examples/javascript/js_example/__init__.py,EXTERNAL,EXTERNAL
examples/javascript/tests/conftest.py,js_example.app,examples/javascript/js_example/__init__.py,EXTERNAL,EXTERNAL
examples/javascript/js_example/__init__.py,js_example.views,examples/javascript/js_example/views.py,EXTERNAL,EXTERNAL
examples/tutorial/flaskr/__init__.py,flaskr.auth,examples/tutorial/flaskr/auth.py,INTERNAL,MAPPED
examples/tutorial/flaskr/blog.py,flaskr.auth.login_required,examples/tutorial/flaskr/auth.py,INTERNAL,MAPPED
examples/tutorial/flaskr/__init__.py,flaskr.blog,examples/tutorial/flaskr/blog.py,INTERNAL,MAPPED
examples/tutorial/flaskr/__init__.py,flaskr.db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/flaskr/auth.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/flaskr/blog.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/tests/conftest.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/tests/test_auth.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/tests/test_blog.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/tests/test_db.py,flaskr.db.get_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
examples/tutorial/tests/conftest.py,flaskr.db.init_db,examples/tutorial/flaskr/db.py,INTERNAL,MAPPED
src/flask/app.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/blueprints.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/cli.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/config.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/ctx.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/debughelpers.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/globals.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/helpers.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/json/__init__.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/json/provider.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/json/tag.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/logging.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/scaffold.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/sessions.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/signals.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/templating.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/testing.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/typing.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/views.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
src/flask/wrappers.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
tests/typing/typing_app_decorators.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
tests/typing/typing_error_handler.py,__future__.annotations,NONE,EXTERNAL,EXTERNAL
