importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
asv_bench/benchmarks/gil.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/io/csv.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/io/hdf.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/io/json.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/io/pickle.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/io/stata.py,benchmarks.pandas_vb_common.BaseIO,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/dtypes.py,benchmarks.pandas_vb_common.datetime_dtypes,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/dtypes.py,benchmarks.pandas_vb_common.extension_dtypes,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/inference.py,benchmarks.pandas_vb_common.lib,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/libs.py,benchmarks.pandas_vb_common.lib,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/arithmetic.py,benchmarks.pandas_vb_common.numeric_dtypes,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/dtypes.py,benchmarks.pandas_vb_common.numeric_dtypes,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
asv_bench/benchmarks/algorithms.py,benchmarks.pandas_vb_common.setup,asv_bench/benchmarks/pandas_vb_common.py,INTERNAL,MAPPED
