importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
benchmarks/distributed/pipeline/pipe.py,benchmark_dataset.BenchmarkLMDataset,benchmarks/distributed/pipeline/benchmark_dataset.py,INTERNAL,MAPPED
benchmarks/distributed/pipeline/pipe.py,benchmark_dataset.collate_sentences_lm,benchmarks/distributed/pipeline/benchmark_dataset.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,data.data_map,benchmarks/distributed/rpc/parameter_server/data/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/data/__init__.py,data.DummyData.DummyData,benchmarks/distributed/rpc/parameter_server/data/DummyData.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,models.model_map,benchmarks/distributed/rpc/parameter_server/models/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/models/__init__.py,models.DummyModel.DummyModel,benchmarks/distributed/rpc/parameter_server/models/DummyModel.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,server.server_map,benchmarks/distributed/rpc/parameter_server/server/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/server/__init__.py,server.server.AverageBatchParameterServer,benchmarks/distributed/rpc/parameter_server/server/server.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/server/__init__.py,server.server.AverageParameterServer,benchmarks/distributed/rpc/parameter_server/server/server.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.criterion_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.ddp_hook_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.ddp_model_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.hook_state_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.iteration_step_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.preprocess_data_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/launcher.py,trainer.trainer_map,benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.criterions.cel,benchmarks/distributed/rpc/parameter_server/trainer/criterions.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.ddp_models.basic_ddp_model,benchmarks/distributed/rpc/parameter_server/trainer/ddp_models.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.hook_states.BasicHookState,benchmarks/distributed/rpc/parameter_server/trainer/hook_states.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.hooks.allreduce_hook,benchmarks/distributed/rpc/parameter_server/trainer/hooks.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.hooks.hybrid_hook,benchmarks/distributed/rpc/parameter_server/trainer/hooks.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.hooks.rpc_hook,benchmarks/distributed/rpc/parameter_server/trainer/hooks.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.hooks.sparse_rpc_hook,benchmarks/distributed/rpc/parameter_server/trainer/hooks.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.iteration_steps.basic_iteration_step,benchmarks/distributed/rpc/parameter_server/trainer/iteration_steps.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.preprocess_data.preprocess_dummy_data,benchmarks/distributed/rpc/parameter_server/trainer/preprocess_data.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/parameter_server/trainer/__init__.py,trainer.trainer.DdpTrainer,benchmarks/distributed/rpc/parameter_server/trainer/trainer.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/rl/coordinator.py,agent.AgentBase,benchmarks/distributed/rpc/rl/agent.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/rl/observer.py,agent.AgentBase,benchmarks/distributed/rpc/rl/agent.py,INTERNAL,MAPPED
benchmarks/distributed/rpc/rl/launcher.py,coordinator.CoordinatorBase,benchmarks/distributed/rpc/rl/coordinator.py,INTERNAL,MAPPED
