importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
zeeguu/core/language/difficulty_estimator_strategy.py,abc.abstractmethod,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/translator.py,apimux.api_base.BaseThirdPartyAPIService,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/translator.py,apimux.log.logger,NONE,EXTERNAL,EXTERNAL
zeeguu/api/app.py,apimux.log.logger,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/translator.py,apimux.mux.APIMultiplexer,NONE,EXTERNAL,EXTERNAL
tools/add_word_rank.py,asyncore.dispatcher_with_send,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/feedparser_extensions.py,bs4.BeautifulSoup,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_retriever/article_downloader.py,bs4.BeautifulSoup,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/cognacy_difficulty_estimator.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/cognacy_wh_difficulty_estimator.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/word_history_difficulty_estimator.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/test_user.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
zeeguu/core/util/text.py,collections.Counter,NONE,EXTERNAL,EXTERNAL
tools/migrations/fix_text_duplications.py,collections.defaultdict,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/cognacy_difficulty_estimator.py,collections.defaultdict,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/cognacy_wh_difficulty_estimator.py,collections.defaultdict,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/frequency_difficulty_estimator.py,collections.defaultdict,NONE,EXTERNAL,EXTERNAL
zeeguu/core/language/strategies/word_history_difficulty_estimator.py,collections.defaultdict,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_retriever/video_dowloader.py,csv,NONE,EXTERNAL,EXTERNAL
tools/exercise_analysis.py,datetime,NONE,EXTERNAL,EXTERNAL
tools/past_exercises_for_user.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/content_retriever/video_dowloader.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/article.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/learner_stats/learner_stats.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/session.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/user.py,datetime,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/json_result.py,datetime.date,NONE,EXTERNAL,EXTERNAL
tools/activity_monitor.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
tools/add_word_rank.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
tools/article_crawler.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
tools/fill_historical_reading_sessions.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
tools/mysql_to_elastic.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
tools/saturate_word_interaction_history.py,datetime.datetime,NONE,EXTERNAL,EXTERNAL
