"path","modulePath"
"dev.py","logging"
"dev.py","env_var_defs"
"dev.py","zeeguu.api.app.app"
"dev.py","sys"
"env_var_defs_default.py","os"
"setup.py","os"
"setup.py","nltk"
"setup.py","setuptools.command.develop.develop"
"setup.py","setuptools.command.install.install"
"setup.py","setuptools"
"tools/_playground.py","zeeguu.core.model.User"
"tools/activity_monitor.py","datetime.datetime"
"tools/activity_monitor.py","timeago"
"tools/activity_monitor.py","zeeguu.core.model.UserActivityData"
"tools/activity_monitor.py","time"
"tools/activity_monitor.py","os"
"tools/activity_monitor.py","time.sleep"
"tools/activity_monitor.py","zeeguu.core"
"tools/add_all_cohorts_to_teacher.py","zeeguu.core.model.Cohort"
"tools/add_all_cohorts_to_teacher.py","zeeguu.core.model.TeacherCohortMap"
"tools/add_all_cohorts_to_teacher.py","zeeguu.core"
"tools/add_all_cohorts_to_teacher.py","zeeguu.core.model.User"
"tools/add_article_id_to_text.py","zeeguu.core"
"tools/add_article_id_to_text.py","zeeguu.core.model.Article"
"tools/add_article_id_to_text.py","zeeguu.core.model.Text"
"tools/add_rssfeed.py","zeeguu.core.model.Language"
"tools/add_rssfeed.py","zeeguu.core"
"tools/add_rssfeed.py","zeeguu.core.model.Url"
"tools/add_rssfeed.py","zeeguu.core.model.RSSFeed"
"tools/add_standard_topics.py","zeeguu.core.model.language.Language"
"tools/add_standard_topics.py","zeeguu.core"
"tools/add_standard_topics.py","zeeguu.core.model.localized_topic.LocalizedTopic"
"tools/add_standard_topics.py","zeeguu.core.model.topic.Topic"
"tools/add_word_rank.py","wordstats.Word"
"tools/add_word_rank.py","re"
"tools/add_word_rank.py","zeeguu"
"tools/add_word_rank.py","zeeguu.core.model"
"tools/add_word_rank.py","datetime.datetime"
"tools/add_word_rank.py","zeeguu.core.model.user_word.UserWord"
"tools/add_word_rank.py","asyncore.dispatcher_with_send"
"tools/anonimize_users.py","faker.Faker"
"tools/anonimize_users.py","sqlalchemy"
