"functionModule","pathLocation"
"tools.activity_monitor.datetime_from_utc_to_local","tools/activity_monitor.py"
"tools.activity_monitor.most_recent_events","tools/activity_monitor.py"
"tools.activity_monitor.print_event","tools/activity_monitor.py"
"tools.add_rssfeed.test_feed","tools/add_rssfeed.py"
"tools.add_standard_topics.add_localized_topic","tools/add_standard_topics.py"
"tools.add_standard_topics.add_topic","tools/add_standard_topics.py"
"tools.article_recommendations.lambda","tools/article_recommendations.py"
"tools.cleanup_non_content_bits.listcomp","tools/cleanup_non_content_bits.py"
"tools.del_dev_users.delete_user","tools/del_dev_users.py"
"tools.exercise_analysis.lambda","tools/exercise_analysis.py"
"tools.exercise_analysis.print_bookmark_history","tools/exercise_analysis.py"
"tools.feed_retrieval.retrieve_articles_from_all_feeds","tools/feed_retrieval.py"
"tools.fill_historical_reading_sessions.listcomp","tools/fill_historical_reading_sessions.py"
"tools.find_broken_articles.listcomp","tools/find_broken_articles.py"
"tools.fix_bookmark_learned_status.print_bookmarks_that_are_learned_without_history","tools/fix_bookmark_learned_status.py"
"tools.fix_bookmark_learned_status.print_bookmarks_that_are_wrongly_learned","tools/fix_bookmark_learned_status.py"
"tools.flatten_unicode_characters.flatten_the_unicode_characters","tools/flatten_unicode_characters.py"
"tools.forget_user.forget_user","tools/forget_user.py"
"tools.learner_level.lambda","tools/learner_level.py"
"tools.mysql_to_elastic.main","tools/mysql_to_elastic.py"
"tools.past_exercises_for_user.lambda","tools/past_exercises_for_user.py"
"tools.past_exercises_for_user.past_exercises_for","tools/past_exercises_for_user.py"
"tools.recompute_recommender_cache.clean_the_cache","tools/recompute_recommender_cache.py"
"tools.recompute_recommender_cache.hashes_of_existing_cached_preferences","tools/recompute_recommender_cache.py"
"tools.recompute_recommender_cache.listcomp","tools/recompute_recommender_cache.py"
"tools.recompute_recommender_cache.recompute_for_topics_and_languages","tools/recompute_recommender_cache.py"
"tools.recompute_recommender_cache.recompute_for_users","tools/recompute_recommender_cache.py"
"tools.remove_unreferenced_articles.delete_articles_older_than","tools/remove_unreferenced_articles.py"
"tools.remove_unreferenced_articles.is_the_article_referenced","tools/remove_unreferenced_articles.py"
"tools.saturate_word_interaction_history.extract_words_from_text","tools/saturate_word_interaction_history.py"
"tools.saturate_word_interaction_history.get_fully_read_timestamps","tools/saturate_word_interaction_history.py"
"tools.saturate_word_interaction_history.listcomp","tools/saturate_word_interaction_history.py"
"tools.saturate_word_interaction_history.process_bookmarked_sentences","tools/saturate_word_interaction_history.py"
"tools.update_particular_tag.genexpr","tools/update_particular_tag.py"
"tools.update_particular_tag.update_particular_tag","tools/update_particular_tag.py"
"zeeguu.api.api.accounts.add_anon_user","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.add_user","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.bad_request","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.delete_all_codes_for_email","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.password_is_too_short","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.reset_password","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.send_code","zeeguu/api/api/accounts.py"
"zeeguu.api.api.accounts.submitted_code_is_wrong","zeeguu/api/api/accounts.py"
"zeeguu.api.api.activity_tracking.upload_user_activity_data","zeeguu/api/api/activity_tracking.py"
"zeeguu.api.api.article.find_or_create_article","zeeguu/api/api/article.py"
"zeeguu.api.api.article.is_article_language_supported","zeeguu/api/api/article.py"
"zeeguu.api.api.article.make_personal_copy","zeeguu/api/api/article.py"
"zeeguu.api.api.bookmarks_and_words.bookmarks_for_article","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.bookmarks_for_article_2","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.bookmarks_to_study_for_article","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.delete_bookmark","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.get_bookmarks_by_day","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.learned_bookmarks","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.listcomp","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.post_bookmarks_by_day","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.report_learned_bookmark","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.star_bookmark","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.starred_bookmarks","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.studied_words","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.top_bookmarks_route","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.bookmarks_and_words.unstar_bookmark","zeeguu/api/api/bookmarks_and_words.py"
"zeeguu.api.api.exercises.bookmarks_to_study","zeeguu/api/api/exercises.py"
"zeeguu.api.api.exercises.get_exercise_log_for_bookmark","zeeguu/api/api/exercises.py"
"zeeguu.api.api.exercises.listcomp","zeeguu/api/api/exercises.py"
"zeeguu.api.api.exercises.report_exercise_outcome","zeeguu/api/api/exercises.py"
"zeeguu.api.api.exercises.similar_words_api","zeeguu/api/api/exercises.py"
"zeeguu.api.api.feature_toggles._audio_exercises","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.feature_toggles._extension_experiment_1","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.feature_toggles._feature_map","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.feature_toggles._no_audio_exercises","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.feature_toggles.features_for_user","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.feature_toggles.is_feature_enabled","zeeguu/api/api/feature_toggles.py"
"zeeguu.api.api.own_texts.delete_own_text","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.own_texts.lambda","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.own_texts.listcomp","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.own_texts.own_texts","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.own_texts.update_own_text","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.own_texts.upload_own_text","zeeguu/api/api/own_texts.py"
"zeeguu.api.api.search.filter_search","zeeguu/api/api/search.py"
"zeeguu.api.api.search.get_filtered_searches","zeeguu/api/api/search.py"
"zeeguu.api.api.search.get_subscribed_searches","zeeguu/api/api/search.py"
"zeeguu.api.api.search.listcomp","zeeguu/api/api/search.py"
"zeeguu.api.api.search.search_for_search_terms","zeeguu/api/api/search.py"
"zeeguu.api.api.search.subscribe_to_search","zeeguu/api/api/search.py"
"zeeguu.api.api.search.unfilter_search","zeeguu/api/api/search.py"
"zeeguu.api.api.search.unsubscribe_from_search","zeeguu/api/api/search.py"
"zeeguu.api.api.sessions.get_anon_session","zeeguu/api/api/sessions.py"
"zeeguu.api.api.sessions.get_session","zeeguu/api/api/sessions.py"
"zeeguu.api.api.sessions.is_up","zeeguu/api/api/sessions.py"
"zeeguu.api.api.sessions.logout","zeeguu/api/api/sessions.py"
"zeeguu.api.api.sessions.validate","zeeguu/api/api/sessions.py"
"zeeguu.api.api.smartwatch.get_smartwatch_events","zeeguu/api/api/smartwatch.py"
"zeeguu.api.api.smartwatch.lambda","zeeguu/api/api/smartwatch.py"
"zeeguu.api.api.smartwatch.listcomp","zeeguu/api/api/smartwatch.py"
"zeeguu.api.api.smartwatch.upload_smartwatch_events","zeeguu/api/api/smartwatch.py"
"zeeguu.api.api.speech._code_from_id","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech._file_name_for_full_article","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech._file_name_for_user_word","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech._save_speech_to_file","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech._voice_for_id","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech.mp3_of_full_article","zeeguu/api/api/speech.py"
"zeeguu.api.api.speech.tts","zeeguu/api/api/speech.py"
"zeeguu.api.api.student.cohort_name","zeeguu/api/api/student.py"
"zeeguu.api.api.student.join_cohort_api","zeeguu/api/api/student.py"
"zeeguu.api.api.student.student_info","zeeguu/api/api/student.py"
"zeeguu.api.api.system_languages.available_languages","zeeguu/api/api/system_languages.py"
"zeeguu.api.api.system_languages.available_native_languages","zeeguu/api/api/system_languages.py"
"zeeguu.api.api.system_languages.lambda","zeeguu/api/api/system_languages.py"
"zeeguu.api.api.system_languages.ping","zeeguu/api/api/system_languages.py"
"zeeguu.api.api.system_languages.system_languages","zeeguu/api/api/system_languages.py"
"zeeguu.api.api.teacher_dashboard._common_api_parameters._convert_number_of_days_to_date_interval","zeeguu/api/api/teacher_dashboard/_common_api_parameters.py"
"zeeguu.api.api.teacher_dashboard._common_api_parameters._get_student_cohort_and_period_from_POST_params","zeeguu/api/api/teacher_dashboard/_common_api_parameters.py"
"zeeguu.api.api.teacher_dashboard._only_teachers_decorator.only_teachers","zeeguu/api/api/teacher_dashboard/_only_teachers_decorator.py"
"zeeguu.api.api.teacher_dashboard._only_teachers_decorator.wrapped_view","zeeguu/api/api/teacher_dashboard/_only_teachers_decorator.py"
"zeeguu.api.api.teacher_dashboard._permissions._abort_if_no_permission_for_user","zeeguu/api/api/teacher_dashboard/_permissions.py"
"zeeguu.api.api.teacher_dashboard._permissions.check_permission_for_cohort","zeeguu/api/api/teacher_dashboard/_permissions.py"
"zeeguu.api.api.teacher_dashboard._permissions.check_permission_for_user","zeeguu/api/api/teacher_dashboard/_permissions.py"
"zeeguu.api.api.teacher_dashboard._permissions.has_permission_for_cohort","zeeguu/api/api/teacher_dashboard/_permissions.py"
"zeeguu.api.api.teacher_dashboard._permissions.is_teacher","zeeguu/api/api/teacher_dashboard/_permissions.py"
"zeeguu.api.api.teacher_dashboard.article_management.add_article_to_cohort","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.cohort_files","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.delete_article_from_cohort","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.get_cohorts_for_article","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.listcomp","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.remove_article_from_cohort","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.send_article_to_colleague","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.teacher_texts","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.article_management.upload_articles","zeeguu/api/api/teacher_dashboard/article_management.py"
"zeeguu.api.api.teacher_dashboard.cohorts._link_teacher_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.add_colleague_to_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.cohorts_info","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.create_own_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.remove_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.remove_user_from_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.update_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.users_from_cohort","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.cohorts.wrapper_to_json_class","zeeguu/api/api/teacher_dashboard/cohorts.py"
"zeeguu.api.api.teacher_dashboard.general.has_permission_for_cohort_api","zeeguu/api/api/teacher_dashboard/general.py"
"zeeguu.api.api.teacher_dashboard.general.has_permission_for_user_info","zeeguu/api/api/teacher_dashboard/general.py"
"zeeguu.api.api.teacher_dashboard.general.inv_code_usable","zeeguu/api/api/teacher_dashboard/general.py"
"zeeguu.api.api.teacher_dashboard.general.is_teacher_api","zeeguu/api/api/teacher_dashboard/general.py"
"zeeguu.api.api.teacher_dashboard.general.users_by_teacher","zeeguu/api/api/teacher_dashboard/general.py"
"zeeguu.api.api.teacher_dashboard.helpers.all_user_info_from_cohort","zeeguu/api/api/teacher_dashboard/helpers.py"
"zeeguu.api.api.teacher_dashboard.helpers.get_cohort_info","zeeguu/api/api/teacher_dashboard/helpers.py"
"zeeguu.api.api.teacher_dashboard.helpers.student_info_for_teacher_dashboard","zeeguu/api/api/teacher_dashboard/helpers.py"
"zeeguu.api.api.teacher_dashboard.student.basic_user_info","zeeguu/api/api/teacher_dashboard/student.py"
"zeeguu.api.api.teacher_dashboard.student.cohort_member_bookmarks","zeeguu/api/api/teacher_dashboard/student.py"
"zeeguu.api.api.teacher_dashboard.student.cohort_member_bookmarks_deprecated","zeeguu/api/api/teacher_dashboard/student.py"
"zeeguu.api.api.teacher_dashboard.student.deprecated_user_info_api","zeeguu/api/api/teacher_dashboard/student.py"
"zeeguu.api.api.teacher_dashboard.student.user_info_api","zeeguu/api/api/teacher_dashboard/student.py"
"zeeguu.api.api.teacher_dashboard.student_exercises.api_student_exercise_history","zeeguu/api/api/teacher_dashboard/student_exercises.py"
"zeeguu.api.api.teacher_dashboard.student_exercises.student_exercise_correctness","zeeguu/api/api/teacher_dashboard/student_exercises.py"
"zeeguu.api.api.teacher_dashboard.student_overviews.api_student_activity_overview","zeeguu/api/api/teacher_dashboard/student_overviews.py"
"zeeguu.api.api.teacher_dashboard.student_readings.student_reading_sessions","zeeguu/api/api/teacher_dashboard/student_readings.py"
"zeeguu.api.api.teacher_dashboard.student_words.student_learned_words","zeeguu/api/api/teacher_dashboard/student_words.py"
"zeeguu.api.api.teacher_dashboard.student_words.student_words_not_studied","zeeguu/api/api/teacher_dashboard/student_words.py"
"zeeguu.api.api.topics.cache_articles","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.get_available_topics","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.get_subscribed_filters","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.get_subscribed_topics","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.listcomp","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.subscribe_to_filter_with_id","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.subscribe_to_topic_with_id","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.unsubscribe_from_filter","zeeguu/api/api/topics.py"
"zeeguu.api.api.topics.unsubscribe_from_topic","zeeguu/api/api/topics.py"
"zeeguu.api.api.translation.contribute_translation","zeeguu/api/api/translation.py"
"zeeguu.api.api.translation.get_multiple_translations","zeeguu/api/api/translation.py"
"zeeguu.api.api.translation.get_one_translation","zeeguu/api/api/translation.py"
"zeeguu.api.api.translation.update_translation","zeeguu/api/api/translation.py"
"zeeguu.api.api.translator.__init__","zeeguu/api/api/translator.py"
"zeeguu.api.api.translator.contribute_trans","zeeguu/api/api/translator.py"
"zeeguu.api.api.translator.get_all_translations","zeeguu/api/api/translator.py"
"zeeguu.api.api.translator.get_next_results","zeeguu/api/api/translator.py"
"zeeguu.api.api.translator.get_result","zeeguu/api/api/translator.py"
"zeeguu.api.api.translator.listcomp","zeeguu/api/api/translator.py"
"zeeguu.api.api.user.get_user_details","zeeguu/api/api/user.py"
"zeeguu.api.api.user.learned_and_native_language","zeeguu/api/api/user.py"
"zeeguu.api.api.user.learned_language","zeeguu/api/api/user.py"
"zeeguu.api.api.user.learned_language_set","zeeguu/api/api/user.py"
"zeeguu.api.api.user.native_language","zeeguu/api/api/user.py"
"zeeguu.api.api.user.native_language_set","zeeguu/api/api/user.py"
"zeeguu.api.api.user.send_feedback","zeeguu/api/api/user.py"
"zeeguu.api.api.user.user_settings","zeeguu/api/api/user.py"
"zeeguu.api.api.user_article.article_opened","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_article.parse_html","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_article.parse_url","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_article.post_article_difficulty_feedback","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_article.user_article","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_article.user_article_update","zeeguu/api/api/user_article.py"
"zeeguu.api.api.user_articles.listcomp","zeeguu/api/api/user_articles.py"
"zeeguu.api.api.user_articles.user_articles_cohort","zeeguu/api/api/user_articles.py"
"zeeguu.api.api.user_articles.user_articles_recommended","zeeguu/api/api/user_articles.py"
"zeeguu.api.api.user_articles.user_articles_starred_and_liked","zeeguu/api/api/user_articles.py"
"zeeguu.api.api.user_articles.user_articles_topic_filtered","zeeguu/api/api/user_articles.py"
"zeeguu.api.api.user_languages.delete_user_language","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_languages.get_interesting_reading_languages","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_languages.get_reading_languages","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_languages.get_user_languages","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_languages.lambda","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_languages.modify_user_language","zeeguu/api/api/user_languages.py"
"zeeguu.api.api.user_statistics.activity_by_day","zeeguu/api/api/user_statistics.py"
"zeeguu.api.api.user_statistics.bookmark_counts_by_date","zeeguu/api/api/user_statistics.py"
"zeeguu.api.api.utils.abort_handling.make_error","zeeguu/api/api/utils/abort_handling.py"
"zeeguu.api.api.utils.feedparser_extensions.list_of_feeds_at_url","zeeguu/api/api/utils/feedparser_extensions.py"
